symbol,entry_date,exit_date,setup,setup_score,entry,stop,target,rr_planned,exit_price,exit_reason,r_realized,days_held,regime_label,rr_gate,regime_mult,days_to_earnings,adx_value,ad_line_slope_pct,higher_lows,institutional_ownership_pct,extended,rr_pts,setup_pts,macd_hist,bb_pos,vol_surge_20,raw_score,earnings_mult,final_score,confidence
META,2022-01-13,2022-01-21,retest,20.0,323.94,312.97,358.63,3.16,312.97,stop,-1.0,5,risk_on,2.5,1.0,,12.98,-36.333,0,79.5,False,40.0,6.0,-1.0231,0.1778,0.8,48.31,1.0,48.31,speculative
META,2022-01-28,2022-02-03,momentum,23.4,302.69,285.87,330.72,1.67,285.87,stop,-1.0,4,risk_on,2.5,1.0,,28.2,-63.495,1,79.5,False,0.0,7.02,-3.0536,0.1853,1.07,9.43,1.0,9.43,speculative
META,2022-02-10,2022-02-11,momentum,19.2,245.48,223.09,282.81,1.67,223.09,stop,-1.0,1,risk_on,2.5,1.0,,36.99,-195.092,0,79.5,False,0.0,5.76,-7.9675,0.1286,1.08,7.43,1.0,7.43,speculative
META,2022-02-18,2022-02-22,momentum,19.2,218.58,199.95,249.62,1.67,199.95,stop,-1.0,1,risk_on,2.5,1.0,,44.11,-83.907,0,79.5,False,0.0,5.76,-3.2504,0.2136,0.69,8.54,1.0,8.54,speculative
META,2022-03-01,2022-03-07,momentum,28.2,207.75,190.64,236.27,1.67,190.64,stop,-1.0,4,risk_on,2.5,1.0,,50.03,-116.302,0,79.5,False,0.0,8.46,1.7025,0.3257,0.47,38.49,1.0,38.49,speculative
META,2022-03-14,2022-03-22,momentum,19.2,192.33,177.36,217.28,1.67,217.28,target,1.667,6,risk_on,2.5,1.0,,56.67,-15.304,0,79.5,False,0.0,5.76,2.1024,0.0963,0.84,32.01,1.0,32.01,speculative
META,2022-03-29,2022-04-19,momentum,27.0,217.12,204.18,238.4,1.64,215.62,time,-0.116,14,risk_on,2.5,1.0,,34.28,41.041,0,79.5,True,0.0,8.1,5.7911,0.9556,0.96,53.1,1.0,53.1,medium
META,2022-04-26,2022-04-27,momentum,19.2,193.27,180.49,214.59,1.67,180.49,stop,-1.0,1,risk_on,2.5,1.0,,26.39,-64.273,0,79.5,False,0.0,5.76,-4.0932,0.0121,1.21,10.02,1.0,10.02,speculative
META,2022-05-04,2022-05-10,momentum,33.43,204.95,193.88,232.25,2.47,193.88,stop,-1.0,4,risk_on,2.5,1.0,,21.3,-8.737,0,79.5,True,0.0,10.03,2.7189,0.7836,1.16,55.03,1.0,55.03,medium
META,2022-05-17,2022-05-19,momentum,13.2,197.76,189.69,219.94,2.75,189.69,stop,-1.0,2,risk_on,2.5,1.0,,14.95,-29.242,1,79.5,False,20.0,3.96,0.5154,0.6032,0.6,65.09,1.0,65.09,medium
META,2022-05-26,2022-06-01,momentum,21.0,189.37,184.06,203.97,2.75,184.06,stop,-1.0,3,risk_on,2.5,1.0,,16.41,-1.867,0,79.5,False,20.0,6.3,-0.554,0.3372,0.61,31.79,1.0,31.79,speculative
META,2022-06-08,2022-06-09,momentum,9.0,192.72,184.08,216.4,2.74,184.08,stop,-1.0,1,risk_on,2.5,1.0,,14.09,13.632,2,79.5,False,19.2,2.7,1.0957,0.6628,0.78,65.41,1.0,65.41,medium
META,2022-06-16,2022-06-21,momentum,19.2,171.77,157.45,195.64,1.67,157.45,stop,-1.0,2,risk_on,2.5,1.0,,21.69,-2.327,0,79.5,False,0.0,5.76,-2.8126,-0.0025,0.97,5.76,1.0,5.76,speculative
META,2022-06-28,2022-06-29,momentum,19.2,163.66,163.19,164.96,2.75,163.19,stop,-1.0,1,risk_on,2.5,1.0,,24.81,-37.879,0,79.5,False,20.0,5.76,-0.1687,0.2578,0.86,29.11,1.0,29.11,speculative
META,2022-07-07,2022-07-11,momentum,23.4,165.65,160.95,178.57,2.75,160.95,stop,-1.0,2,risk_on,2.5,1.0,,22.39,-9.554,1,79.5,True,20.0,7.02,1.8929,0.6267,0.74,69.09,1.0,69.09,medium
META,2022-07-18,2022-07-28,retest,7.5,165.93,155.8,191.46,2.52,155.8,stop,-1.0,8,risk_on,2.5,1.0,,19.61,14.394,0,79.5,False,1.6,2.25,1.1031,0.6604,0.77,47.27,1.0,47.27,speculative
META,2022-08-04,2022-08-24,momentum,9.0,164.51,157.66,183.36,2.75,161.99,time,-0.368,14,risk_on,2.5,1.0,,14.57,43.552,0,79.5,False,20.0,2.7,0.4425,0.6273,0.79,63.35,1.0,63.35,medium
META,2022-08-31,2022-09-13,breakout,20.0,161.66,154.7,181.63,2.87,154.7,stop,-1.0,8,risk_on,2.5,1.0,,14.41,-58.337,0,79.5,False,29.6,6.0,-1.3155,0.2848,1.85,48.4,1.0,48.4,speculative
META,2022-09-20,2022-09-21,momentum,12.0,150.61,141.41,165.95,1.67,141.41,stop,-1.0,1,risk_on,2.5,1.0,,17.8,-51.035,0,79.5,False,0.0,3.6,-1.5757,0.0722,0.89,4.54,1.0,4.54,speculative
META,2022-09-28,2022-10-07,momentum,19.2,140.81,131.83,155.79,1.67,131.83,stop,-1.0,7,risk_on,2.5,1.0,,25.51,-49.384,0,79.5,False,0.0,5.76,-1.2318,0.2604,1.11,9.15,1.0,9.15,speculative
META,2022-10-14,2022-10-27,momentum,19.2,130.42,121.9,144.6,1.67,121.9,stop,-1.0,9,risk_on,2.5,1.0,,33.12,-46.425,0,79.5,False,0.0,5.76,-0.2689,0.0639,0.73,6.59,1.0,6.59,speculative
META,2022-11-03,2022-11-04,momentum,19.2,100.65,90.13,118.18,1.67,90.13,stop,-1.0,1,risk_on,2.5,1.0,,39.75,-92.44,0,79.5,False,0.0,5.76,-3.5788,0.0601,1.01,6.54,1.0,6.54,speculative
META,2022-11-11,2022-11-14,momentum,16.2,103.43,103.21,104.04,2.75,104.04,target,2.773,1,risk_on,2.5,1.0,,35.0,-44.679,0,79.5,True,20.0,4.86,1.899,0.518,0.83,62.58,1.0,62.58,medium
META,2022-11-21,2022-12-02,momentum,11.4,109.56,104.99,122.14,2.75,122.14,target,2.753,8,risk_on,2.5,1.0,,23.33,-52.32,1,79.5,False,20.0,3.42,2.5399,0.5725,0.32,63.32,1.0,63.32,medium
META,2022-12-09,2022-12-30,retest,15.0,115.0,107.76,131.88,2.33,119.4,time,0.608,14,risk_on,2.5,1.0,,14.11,6.353,0,79.5,False,0.0,4.5,0.8536,0.5908,0.7,45.13,1.0,45.13,speculative
AAPL,2022-01-10,2022-01-18,momentum,31.2,170.89,166.05,180.85,2.05,166.05,stop,-1.0,5,risk_on,2.5,1.0,,35.04,-18.343,1,66.0,False,0.0,9.36,-1.4217,0.2505,1.03,12.62,1.0,12.62,speculative
AAPL,2022-01-25,2022-01-28,reversion,62.0,156.21,150.15,164.93,1.44,164.93,target,1.439,3,risk_on,2.5,1.0,,27.22,-54.305,0,66.0,False,0.0,18.6,-2.0732,0.0171,1.28,23.62,1.0,23.62,speculative
AAPL,2022-02-04,2022-02-22,momentum,52.0,167.37,161.86,178.76,2.07,161.86,stop,-1.0,11,risk_on,2.5,1.0,,19.99,22.237,0,66.0,False,0.0,15.6,0.8944,0.6433,0.8,58.33,1.0,58.33,medium
AAPL,2022-03-01,2022-03-04,momentum,19.2,161.6,159.35,167.8,2.75,159.35,stop,-1.0,3,risk_on,2.5,1.0,,22.11,42.293,0,66.0,False,20.0,5.76,-0.7492,0.1723,0.96,28.0,1.0,28.0,speculative
AAPL,2022-03-11,2022-03-14,momentum,19.2,156.7,155.31,160.54,2.75,155.31,stop,-1.0,1,risk_on,2.5,1.0,,29.61,-8.357,0,66.0,False,20.0,5.76,-0.8326,-0.0023,1.07,25.76,1.0,25.76,speculative
AAPL,2022-03-21,2022-03-23,momentum,52.0,157.55,153.96,167.43,2.75,167.43,target,2.752,2,risk_on,2.5,1.0,,29.17,45.273,0,66.0,False,20.0,15.6,0.7382,0.7417,0.99,80.6,1.0,80.6,medium
AAPL,2022-03-30,2022-04-18,momentum,77.0,169.59,160.54,180.19,1.17,160.54,stop,-1.0,12,risk_on,2.5,1.0,,24.09,48.922,1,66.0,False,0.0,23.1,2.2174,0.8909,0.97,68.1,1.0,68.1,medium
AAPL,2022-04-25,2022-04-26,reversion,50.0,159.44,154.04,167.99,1.58,154.04,stop,-1.0,1,risk_on,2.5,1.0,,14.33,0.061,0,66.0,False,0.0,15.0,-1.0993,0.1418,1.19,16.84,1.0,16.84,speculative
AAPL,2022-05-03,2022-05-09,reversion,30.0,156.11,148.81,165.87,1.34,148.81,stop,-1.0,4,risk_on,2.5,1.0,,16.12,-16.563,0,66.0,False,0.0,9.0,-0.8692,0.244,1.03,12.17,1.0,12.17,speculative
AAPL,2022-05-16,2022-05-18,momentum,19.2,146.82,138.42,160.83,1.67,138.42,stop,-1.0,2,risk_on,2.5,1.0,,19.75,-17.518,0,66.0,False,0.0,5.76,-1.3509,0.108,0.8,7.16,1.0,7.16,speculative
AAPL,2022-05-25,2022-06-13,momentum,23.4,139.52,131.04,153.65,1.67,131.04,stop,-1.0,12,risk_on,2.5,1.0,,27.87,4.859,1,66.0,False,0.0,7.02,-0.5104,0.2384,0.78,10.12,1.0,10.12,speculative
AAPL,2022-06-21,2022-07-20,retest,7.5,133.2,126.5,150.61,2.6,150.61,target,2.599,20,risk_on,2.5,1.0,,27.05,14.458,0,66.0,False,8.0,2.25,-0.602,0.2917,0.87,14.04,1.0,14.04,speculative
AAPL,2022-07-27,2022-07-29,momentum,60.0,149.66,141.82,159.41,1.24,159.41,target,1.244,2,risk_on,2.5,1.0,,16.37,51.661,2,66.0,False,0.0,18.0,0.9136,0.9081,1.11,63.0,1.0,63.0,medium
AAPL,2022-08-05,2022-08-12,momentum,85.0,158.77,148.81,168.38,0.96,168.38,target,0.965,5,risk_on,2.5,1.0,,25.63,25.728,3,66.0,False,0.0,25.5,1.0977,0.8866,0.79,70.5,1.0,70.5,medium
AAPL,2022-08-19,2022-08-29,momentum,85.0,168.19,160.26,176.45,1.04,160.26,stop,-1.0,6,risk_on,2.5,1.0,,38.74,18.131,5,66.0,False,0.0,25.5,0.1957,0.7237,1.06,62.89,1.0,62.89,medium
AAPL,2022-09-06,2022-09-07,momentum,19.2,156.38,155.56,158.64,2.75,155.56,stop,-1.0,1,risk_on,2.5,1.0,,27.36,-7.79,0,66.0,False,20.0,5.76,-2.3501,0.0531,1.1,26.45,1.0,26.45,speculative
AAPL,2022-09-14,2022-09-15,momentum,23.4,154.34,152.69,158.87,2.75,152.69,stop,-1.0,1,risk_on,2.5,1.0,,22.87,-13.864,1,66.0,False,20.0,7.02,-1.0036,0.2558,1.17,30.35,1.0,30.35,speculative
AAPL,2022-09-22,2022-09-28,breakout,16.5,157.6,143.52,170.42,0.91,143.52,stop,-1.0,4,risk_on,2.5,1.0,,18.2,-3.075,0,66.0,False,0.0,4.95,-0.4395,0.2668,0.99,8.42,1.0,8.42,speculative
AAPL,2022-10-05,2022-10-06,momentum,19.2,143.57,143.17,144.65,2.75,143.17,stop,-1.0,1,risk_on,2.5,1.0,,19.51,14.828,0,66.0,False,20.0,5.76,-0.5529,0.2953,0.77,29.6,1.0,29.6,speculative
AAPL,2022-10-13,2022-10-14,momentum,17.4,139.42,139.12,140.24,2.75,139.12,stop,-1.0,1,risk_on,2.5,1.0,,25.97,10.441,1,66.0,False,20.0,5.22,-0.2079,0.3453,1.15,31.03,1.0,31.03,speculative
AAPL,2022-10-21,2022-10-25,momentum,16.2,141.02,137.88,149.66,2.75,149.66,target,2.752,2,risk_on,2.5,1.0,,25.57,0.689,0,66.0,False,20.0,4.86,1.0023,0.7195,0.94,69.86,1.0,69.86,medium
AAPL,2022-11-01,2022-11-03,momentum,50.57,147.18,140.21,159.86,1.82,140.21,stop,-1.0,2,risk_on,2.5,1.0,,18.92,3.842,2,66.0,False,0.0,15.17,1.4507,0.7574,0.92,60.17,1.0,60.17,medium
AAPL,2022-11-10,2022-11-15,momentum,11.4,139.77,136.05,150.0,2.75,150.0,target,2.75,3,risk_on,2.5,1.0,,19.38,3.914,1,66.0,True,20.0,3.42,-0.3913,0.5967,1.27,43.99,1.0,43.99,speculative
AAPL,2022-11-22,2022-11-29,momentum,23.14,146.22,139.79,158.33,1.88,139.79,stop,-1.0,4,risk_on,2.5,1.0,,15.08,-0.206,2,66.0,False,0.0,6.94,0.7864,0.6588,0.56,50.29,1.0,50.29,medium
AAPL,2022-12-06,2022-12-15,breakout,22.67,149.3,135.7,163.16,1.02,135.7,stop,-1.0,7,risk_on,2.5,1.0,,10.95,10.842,1,66.0,False,0.0,6.8,-0.3425,0.2711,0.85,10.32,1.0,10.32,speculative
AAPL,2022-12-22,2022-12-23,momentum,12.0,133.63,133.35,134.41,2.75,133.35,stop,-1.0,1,risk_on,2.5,1.0,,13.24,-12.593,0,66.0,False,20.0,3.6,-1.1565,0.0896,0.98,24.76,1.0,24.76,speculative
MSFT,2022-01-04,2022-01-05,breakout,19.83,331.66,304.7,351.83,0.75,304.7,stop,-1.0,1,risk_on,2.5,1.0,,18.08,24.523,0,75.9,False,0.0,5.95,-0.2778,0.3156,1.19,10.57,1.0,10.57,speculative
MSFT,2022-01-12,2022-01-18,reversion,15.0,306.59,291.69,321.1,0.97,291.69,stop,-1.0,3,risk_on,2.5,1.0,,23.08,13.618,0,75.9,False,0.0,4.5,-2.1432,0.2694,1.16,8.0,1.0,8.0,speculative
MSFT,2022-01-25,2022-02-08,breakout,20.0,277.9,265.92,305.47,2.3,293.38,time,1.292,10,risk_on,2.5,1.0,,30.89,-31.097,0,75.9,False,0.0,6.0,-2.5046,0.0799,2.03,17.04,1.0,17.04,speculative
MSFT,2022-02-15,2022-02-17,retest,20.0,289.44,280.66,317.99,3.25,280.66,stop,-1.0,2,risk_on,2.5,1.0,,27.23,-16.769,0,75.9,False,40.0,6.0,0.2122,0.4395,0.57,73.38,1.0,73.38,medium
MSFT,2022-02-25,2022-03-04,momentum,16.2,282.84,278.25,295.44,2.75,278.25,stop,-1.0,5,risk_on,2.5,1.0,,32.77,35.01,0,75.9,False,20.0,4.86,0.0584,0.4393,0.84,39.1,1.0,39.1,speculative
MSFT,2022-03-11,2022-03-14,momentum,19.2,275.8,271.76,286.89,2.75,271.76,stop,-1.0,1,risk_on,2.5,1.0,,38.34,2.62,0,75.9,False,20.0,5.76,-0.5655,0.1449,0.75,27.64,1.0,27.64,speculative
MSFT,2022-03-21,2022-04-08,momentum,79.0,282.79,273.04,305.29,2.31,286.66,time,0.397,14,risk_on,2.5,1.0,,31.23,48.021,1,75.9,False,0.0,23.7,2.1881,0.776,0.79,68.7,1.0,68.7,medium
MSFT,2022-04-18,2022-04-19,momentum,19.2,278.58,277.2,282.37,2.75,277.2,stop,-1.0,1,risk_on,2.5,1.0,,24.55,6.641,0,75.9,False,20.0,5.76,-3.2091,0.0743,0.72,26.73,1.0,26.73,speculative
MSFT,2022-04-26,2022-04-27,breakout,20.0,260.84,260.63,261.48,3.0,261.48,target,3.048,1,risk_on,2.5,1.0,,27.4,-21.317,0,75.9,False,40.0,6.0,-2.1901,0.1136,1.64,55.32,1.0,55.32,medium
MSFT,2022-05-04,2022-05-05,momentum,32.4,274.0,267.32,292.36,2.75,267.32,stop,-1.0,1,risk_on,2.5,1.0,,22.16,-19.905,1,75.9,False,20.0,9.72,0.808,0.6627,1.05,73.23,1.0,73.23,medium
MSFT,2022-05-12,2022-05-13,momentum,7.2,259.08,258.12,261.69,2.75,258.12,stop,-1.0,1,risk_on,2.5,1.0,,23.22,-28.792,0,75.9,False,20.0,2.16,-2.0227,-0.0879,1.45,28.66,1.0,28.66,speculative
MSFT,2022-05-20,2022-05-23,momentum,7.2,250.43,250.11,251.32,2.75,250.11,stop,-1.0,1,risk_on,2.5,1.0,,26.55,-18.735,0,75.9,False,20.0,2.16,-1.2092,0.1438,1.02,24.03,1.0,24.03,speculative
MSFT,2022-05-31,2022-06-10,momentum,16.2,257.11,250.26,275.93,2.75,250.26,stop,-1.0,8,risk_on,2.5,1.0,,23.53,4.564,0,75.9,False,20.0,4.86,2.2485,0.6621,1.07,68.34,1.0,68.34,medium
MSFT,2022-06-17,2022-06-21,momentum,11.4,243.81,242.82,246.52,2.75,242.82,stop,-1.0,1,risk_on,2.5,1.0,,26.74,13.019,1,75.9,False,20.0,3.42,-1.6643,0.1899,1.41,31.99,1.0,31.99,speculative
MSFT,2022-06-28,2022-07-13,momentum,20.4,249.87,243.18,268.25,2.75,243.18,stop,-1.0,10,risk_on,2.5,1.0,,20.44,-4.169,1,75.9,False,20.0,6.12,1.3225,0.4134,0.9,59.66,1.0,59.66,medium
MSFT,2022-07-20,2022-08-03,breakout,23.47,257.31,234.44,278.4,0.92,273.3,time,0.699,10,risk_on,2.5,1.0,,15.12,29.318,1,75.9,False,0.0,7.04,0.1801,0.6062,0.88,40.29,1.0,40.29,speculative
MSFT,2022-08-10,2022-08-29,momentum,45.0,272.13,259.17,289.37,1.33,259.17,stop,-1.0,13,risk_on,2.5,1.0,,15.61,25.956,0,75.9,False,0.0,13.5,1.7572,0.8924,0.96,58.5,1.0,58.5,medium
MSFT,2022-09-06,2022-09-07,momentum,19.2,254.67,245.62,269.76,1.67,245.62,stop,-1.0,1,risk_on,2.5,1.0,,23.1,-8.389,0,75.9,False,0.0,5.76,-3.6454,0.0544,1.01,6.47,1.0,6.47,speculative
MSFT,2022-09-14,2022-09-15,retest,20.0,244.55,242.26,251.99,3.25,242.26,stop,-1.0,1,risk_on,2.5,1.0,,22.79,-13.106,0,75.9,False,40.0,6.0,-1.4701,0.1854,1.1,48.41,1.0,48.41,speculative
MSFT,2022-09-22,2022-09-29,breakout,21.0,246.5,227.3,264.79,0.95,227.3,stop,-1.0,5,risk_on,2.5,1.0,,28.65,-4.142,0,75.9,False,0.0,6.3,-1.6664,0.153,1.26,12.89,1.0,12.89,speculative
MSFT,2022-10-06,2022-10-07,momentum,20.4,236.47,233.15,245.59,2.75,233.15,stop,-1.0,1,risk_on,2.5,1.0,,27.98,-1.44,1,75.9,False,20.0,6.12,1.8139,0.5493,0.71,65.09,1.0,65.09,medium
MSFT,2022-10-14,2022-10-17,momentum,7.2,225.57,224.75,227.82,2.75,227.82,target,2.744,1,risk_on,2.5,1.0,,30.44,-9.517,0,75.9,False,20.0,2.16,-0.1874,0.1764,1.01,24.45,1.0,24.45,speculative
MSFT,2022-10-24,2022-10-26,momentum,22.2,231.91,225.1,250.3,2.7,225.1,stop,-1.0,2,risk_on,2.5,1.0,,21.95,-2.478,2,75.9,True,16.0,6.66,2.146,0.8426,0.88,67.66,1.0,67.66,medium
MSFT,2022-11-02,2022-11-03,momentum,19.2,223.78,220.09,233.92,2.75,220.09,stop,-1.0,1,risk_on,2.5,1.0,,20.86,-22.658,0,75.9,False,20.0,5.76,-0.7331,0.0534,1.2,30.45,1.0,30.45,speculative
MSFT,2022-11-10,2022-11-11,momentum,39.43,223.05,216.77,240.31,2.75,240.31,target,2.748,1,risk_on,2.5,1.0,,20.71,-9.624,1,75.9,True,20.0,11.83,1.0453,0.781,1.36,82.43,1.0,82.43,medium
MSFT,2022-11-18,2022-12-05,breakout,21.07,240.45,224.2,262.37,1.35,243.27,time,0.174,10,risk_on,2.5,1.0,,18.44,-3.172,0,75.9,False,0.0,6.32,2.017,0.68,0.79,50.52,1.0,50.52,medium
MSFT,2022-12-12,2022-12-22,breakout,45.47,249.03,227.88,268.04,0.9,227.88,stop,-1.0,8,risk_on,2.5,1.0,,14.65,13.415,1,75.9,False,0.0,13.64,-0.0107,0.8197,1.24,38.04,1.0,38.04,speculative
GOOGL,2022-01-12,2022-01-21,reversion,15.0,140.27,131.28,146.59,0.7,131.28,stop,-1.0,6,risk_on,2.5,1.0,,18.16,-3.831,0,81.3,False,0.0,4.5,-0.5272,0.3708,0.86,11.33,1.0,11.33,speculative
GOOGL,2022-01-28,2022-01-31,momentum,19.2,130.74,130.68,130.9,2.75,130.9,target,2.667,1,risk_on,2.5,1.0,,30.33,-44.161,0,81.3,False,20.0,5.76,-0.5123,0.3569,0.95,32.04,1.0,32.04,speculative
GOOGL,2022-02-07,2022-02-14,momentum,28.2,138.2,132.27,150.12,2.01,132.27,stop,-1.0,5,risk_on,2.5,1.0,,25.5,-30.128,1,81.3,False,0.0,8.46,1.4281,0.6258,1.17,50.49,1.0,50.49,medium
GOOGL,2022-02-22,2022-02-23,momentum,7.2,132.83,130.73,138.59,2.75,130.73,stop,-1.0,1,risk_on,2.5,1.0,,18.36,-58.982,0,81.3,False,20.0,2.16,-0.7417,0.2171,0.9,24.98,1.0,24.98,speculative
GOOGL,2022-03-02,2022-03-11,reversion,30.0,133.47,122.9,141.69,0.78,128.81,time,-0.441,7,risk_on,2.5,1.0,,20.09,-46.903,0,81.3,False,0.0,9.0,0.1183,0.408,0.49,32.78,1.0,32.78,speculative
GOOGL,2022-03-18,2022-03-29,momentum,72.0,131.31,127.37,141.64,2.61,141.64,target,2.615,7,risk_on,2.5,1.0,,22.69,20.63,0,81.3,False,8.8,21.6,0.6602,0.8646,1.25,79.9,1.0,79.9,high
GOOGL,2022-04-05,2022-04-06,momentum,50.57,139.44,136.62,147.21,2.75,136.62,stop,-1.0,1,risk_on,2.5,1.0,,18.59,184.778,2,81.3,False,20.0,15.17,0.4554,0.6774,0.68,78.16,1.0,78.16,medium
GOOGL,2022-04-13,2022-04-14,retest,7.5,128.83,125.75,138.84,3.25,125.75,stop,-1.0,1,risk_on,2.5,1.0,,19.75,24.757,0,81.3,False,40.0,2.25,-1.4579,0.0986,0.93,43.53,1.0,43.53,speculative
GOOGL,2022-04-22,2022-04-25,breakout,20.0,118.65,117.95,120.77,3.0,117.95,stop,-1.0,1,risk_on,2.5,1.0,,24.07,-82.382,0,81.3,False,40.0,6.0,-1.4856,-0.0026,1.96,55.76,1.0,55.76,medium
GOOGL,2022-05-02,2022-05-09,momentum,19.2,118.04,111.8,128.45,1.67,111.8,stop,-1.0,5,risk_on,2.5,1.0,,31.9,-95.781,0,81.3,False,0.0,5.76,-1.2658,0.1913,0.93,8.25,1.0,8.25,speculative
GOOGL,2022-05-16,2022-05-17,momentum,28.2,114.16,113.85,115.01,2.75,115.01,target,2.742,1,risk_on,2.5,1.0,,25.62,-117.93,0,81.3,False,20.0,8.46,0.2359,0.3151,0.59,51.46,1.0,51.46,medium
GOOGL,2022-05-24,2022-06-06,breakout,20.0,105.1,101.05,117.26,3.0,117.26,target,3.002,8,risk_on,2.5,1.0,,27.85,70.815,0,81.3,False,40.0,6.0,-0.141,-0.0758,1.78,54.68,1.0,54.68,medium
GOOGL,2022-06-13,2022-06-14,momentum,28.2,111.61,108.74,119.51,2.75,108.74,stop,-1.0,1,risk_on,2.5,1.0,,18.89,121.543,2,81.3,False,20.0,8.46,0.1934,0.112,1.27,51.96,1.0,51.96,medium
GOOGL,2022-06-22,2022-07-22,retest,20.0,110.57,104.54,124.65,2.33,107.02,time,-0.589,21,risk_on,2.5,1.0,,17.03,101.011,0,81.3,False,0.0,6.0,0.1328,0.5053,0.76,34.03,1.0,34.03,speculative
GOOGL,2022-07-29,2022-08-18,momentum,23.14,111.46,107.08,122.05,2.42,119.18,time,1.768,14,risk_on,2.5,1.0,,11.73,3158.802,0,81.3,True,0.0,6.94,0.3188,0.7467,0.94,47.41,1.0,47.41,speculative
GOOGL,2022-08-25,2022-08-26,breakout,27.5,120.3,110.48,129.11,0.9,110.48,stop,-1.0,1,risk_on,2.5,1.0,,13.35,25.232,0,81.3,False,0.0,8.25,-0.6659,0.4021,0.75,16.33,1.0,16.33,speculative
GOOGL,2022-09-02,2022-09-06,retest,15.0,106.97,106.38,108.87,3.25,106.38,stop,-1.0,1,risk_on,2.5,1.0,,17.81,-65.425,0,81.3,False,40.0,4.5,-1.1544,0.1145,1.08,45.99,1.0,45.99,speculative
GOOGL,2022-09-13,2022-09-15,breakout,45.0,110.7,101.67,120.13,1.04,101.67,stop,-1.0,2,risk_on,2.5,1.0,,18.38,-68.331,0,81.3,False,0.0,13.5,-0.4726,0.0965,1.66,22.71,1.0,22.71,speculative
GOOGL,2022-09-22,2022-09-27,breakout,21.0,104.42,96.55,113.02,1.09,96.55,stop,-1.0,3,risk_on,2.5,1.0,,27.77,-50.798,0,81.3,False,0.0,6.3,-0.7102,0.1181,1.26,12.44,1.0,12.44,speculative
GOOGL,2022-10-04,2022-10-05,momentum,28.2,98.51,98.42,98.74,2.75,98.42,stop,-1.0,1,risk_on,2.5,1.0,,35.67,4.537,0,81.3,False,20.0,8.46,0.2257,0.4645,0.98,57.18,1.0,57.18,medium
GOOGL,2022-10-12,2022-10-26,breakout,20.27,102.48,93.34,111.07,0.94,94.15,time,-0.911,10,risk_on,2.5,1.0,,35.49,-62.057,0,81.3,False,0.0,6.08,0.3038,0.269,0.76,29.67,1.0,29.67,speculative
GOOGL,2022-11-02,2022-11-03,breakout,20.0,86.26,86.17,86.52,3.0,86.17,stop,-1.0,1,risk_on,2.5,1.0,,32.35,-285.895,0,81.3,False,40.0,6.0,-0.9256,-0.1289,1.7,54.2,1.0,54.2,medium
GOOGL,2022-11-10,2022-11-11,momentum,11.4,89.48,88.93,91.02,2.75,91.02,target,2.75,1,risk_on,2.5,1.0,,34.21,-321.012,1,81.3,True,20.0,3.42,-0.0932,0.4792,1.29,39.49,1.0,39.49,speculative
GOOGL,2022-11-18,2022-12-09,momentum,19.2,95.3,91.1,103.64,1.99,92.07,time,-0.769,14,risk_on,2.5,1.0,,24.07,-448.154,1,81.3,False,0.0,5.76,1.2771,0.6605,0.67,49.18,1.0,49.18,speculative
GOOGL,2022-12-16,2022-12-19,breakout,20.0,89.52,88.79,91.72,3.0,88.79,stop,-1.0,1,risk_on,2.5,1.0,,13.28,-145.619,0,81.3,False,40.0,6.0,-0.7116,0.0205,2.12,56.27,1.0,56.27,medium
GOOGL,2022-12-27,2022-12-28,retest,20.0,86.67,85.61,90.12,3.25,85.61,stop,-1.0,1,risk_on,2.5,1.0,,15.35,-90.754,0,81.3,False,40.0,6.0,-0.6619,0.1559,0.66,48.03,1.0,48.03,speculative
GOOG,2022-01-12,2022-01-21,reversion,15.0,140.49,131.29,146.65,0.67,131.29,stop,-1.0,6,risk_on,2.5,1.0,,17.87,-5.581,0,61.6,False,0.0,4.5,-0.5013,0.3733,0.99,11.43,1.0,11.43,speculative
GOOG,2022-01-28,2022-02-02,momentum,19.2,130.74,124.94,140.41,1.67,140.41,target,1.667,3,risk_on,2.5,1.0,,29.71,-45.725,0,61.6,False,0.0,5.76,-0.5122,0.3536,1.05,11.9,1.0,11.9,speculative
GOOG,2022-02-09,2022-02-11,momentum,65.0,138.58,132.94,149.83,1.99,132.94,stop,-1.0,2,risk_on,2.5,1.0,,22.29,-38.217,2,61.6,False,0.0,19.5,1.1503,0.7166,0.75,64.5,1.0,64.5,medium
GOOG,2022-02-18,2022-02-22,breakout,0.0,129.41,129.25,129.88,3.0,129.25,stop,-1.0,1,risk_on,2.5,1.0,,17.53,-51.45,0,61.6,False,40.0,0.0,-0.52,0.2457,0.79,43.19,1.0,43.19,speculative
GOOG,2022-03-01,2022-03-10,reversion,30.0,133.08,122.7,141.47,0.81,131.6,time,-0.142,7,risk_on,2.5,1.0,,20.06,-50.276,0,61.6,False,0.0,9.0,0.031,0.3856,0.64,18.9,1.0,18.9,speculative
GOOG,2022-03-17,2022-03-22,momentum,63.43,130.76,127.35,140.12,2.75,140.12,target,2.745,3,risk_on,2.5,1.0,,23.24,-37.322,2,61.6,False,20.0,19.03,0.4146,0.7551,0.81,81.9,1.0,81.9,high
